sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
Plain Black Multipack Socks ,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Underwear & Socks,Default Category/Women/Underwear & Socks,Default Category/Kids/Underwear & Socks",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Plain-black-multi-socks,Plain Black Multipack Socks ,Plain Black Multipack Socks ,Plain Black Multipack Socks ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Block Colour Multipack Socks ,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Underwear & Socks,Default Category/Women/Underwear & Socks,Default Category/Kids/Underwear & Socks",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Block-multi-socks,Block Colour Multipack Socks ,Block Colour Multipack Socks ,Block Colour Multipack Socks ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Pattern Multipack Socks ,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Underwear & Socks,Default Category/Women/Underwear & Socks,Default Category/Kids/Underwear & Socks",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Pattern-multi-socks,Pattern Multipack Socks ,Pattern Multipack Socks ,Pattern Multipack Socks ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Plain White Multipack Socks ,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Underwear & Socks,Default Category/Women/Underwear & Socks,Default Category/Kids/Underwear & Socks",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Plain-white-multi-socks,Plain White Multipack Socks ,Plain White Multipack Socks ,Plain White Multipack Socks ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Black Bra,,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Underwear & Socks,Default Category/Kids/Underwear & Socks",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Black-bra,Black Bra,Black Bra,Black Bra,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
White Bra,,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Underwear & Socks,Default Category/Kids/Underwear & Socks",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,White-bra,White Bra,White Bra,White Bra,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Red Bra,,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Underwear & Socks,Default Category/Kids/Underwear & Socks",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Red-bra,Red Bra,Red Bra,Red Bra,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Plain White Boxers,,Default,simple,"Default Category/Men,Default Category/Men/Underwear & Socks",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Plain-white-boxers,Plain White Boxers,Plain White Boxers,Plain White Boxers,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Plain Black Boxers,,Default,simple,"Default Category/Men,Default Category/Men/Underwear & Socks",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Plain-black-boxers,Plain Black Boxers,Plain Black Boxers,Plain Black Boxers,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Brown Brogues Smart ,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shoes,Default Category/Women/Shoes,Default Category/Kids/Shoes",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Brown-brogues,Brown Brogues Smart ,Brown Brogues Smart ,Brown Brogues Smart ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Black Oxford Smart,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shoes,Default Category/Women/Shoes,Default Category/Kids/Shoes",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Black-oxford,Black Oxford Smart,Black Oxford Smart,Black Oxford Smart,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Running Trainers,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shoes,Default Category/Women/Shoes,Default Category/Kids/Shoes",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Running-trainers,Running Trainers,Running Trainers,Running Trainers,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Casual Trainers,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shoes,Default Category/Women/Shoes,Default Category/Kids/Shoes",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Casual-trainers,Casual Trainers,Casual Trainers,Casual Trainers,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Flip Flops,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shoes,Default Category/Women/Shoes,Default Category/Kids/Shoes",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,flipflops,Flip Flops,Flip Flops,Flip Flops,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Bobble Hat,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Accessories,Default Category/Women/Accessories,Default Category/Kids/Accessories",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Bobble-hat,Bobble Hat,Bobble Hat,Bobble Hat,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Baseball Cap,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Accessories,Default Category/Women/Accessories,Default Category/Kids/Accessories",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Baseball-cap,Baseball Cap,Baseball Cap,Baseball Cap,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Silver Earring,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Accessories,Default Category/Women/Accessories,Default Category/Kids/Accessories",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Silver-earring,Silver Earring,Silver Earring,Silver Earring,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Gold Earring,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Accessories,Default Category/Women/Accessories,Default Category/Kids/Accessories",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Gold-earring,Gold Earring,Gold Earring,Gold Earring,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Thumb Ring,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Accessories,Default Category/Women/Accessories,Default Category/Kids/Accessories",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Thumb-ring,Thumb Ring,Thumb Ring,Thumb Ring,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Necklace,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Accessories,Default Category/Women/Accessories,Default Category/Kids/Accessories",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,necklace,Necklace,Necklace,Necklace,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Multipack Hairbands,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Accessories,Default Category/Women/Accessories,Default Category/Kids/Accessories",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,hairbands,Multipack Hairbands,Multipack Hairbands,Multipack Hairbands,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
